ä®íËïÚçsÅFì`ï[ãÊêÿ,G/L Account,édñÛì˙,ê\êøì˙,édñÛÉfÅ[É^ê∂ê¨ì˙,ì`ï[No.,éÿï˚ÅFä®íËâ»ñ⁄ÅFâÔåvòAåg?ñ⁄,éÿï˚ÅFï‚?â»ñ⁄ÅFâÔåvòAåg?ñ⁄,,,ä∑éZëOäz,íPà ,éÿï˚ÅF?íS?ñÂÅFâÔåvòAåg?ñ⁄,ê\êøé“CD/éxï•êÊCD,éxï•êÊCD,ìEóv,Ét?Å[ÇQ(ñæç◊),Receipt/Invoice Note(ñæç◊),Receipt/Invoice No.(ñæç◊),éÿï˚ÅF?íS?ñÂÉRÅ[Éh,îıçl
,G/L Account,2025/5/20,2025/5/23,2025/6/23,VPA-0000172,72600-10,72600-30,,,43.46,R-USD,VCA.1342G,10126,,VPA-0000172   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner) ESCAr Confernece Lunch and drinks with partners/customers,ESCAr Confernece Lunch and drinks with partners/customers,"lunch & drinks with prospects & partners (NXP, Green Hills Software, ETAS, Trustonic)",20250520,VCA.1342G,"Lyft, Hotel, Food 
ESCAR Conference 2025 at the Saint Johns Resort, Michigan"
,Vendor,2025/5/20,2025/5/23,2025/6/23,VPA-0000172,,,32200-10,32200-10,43.46,R-USD,VCA.1342G,10126,,VPA-0000172   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner) ESCAr Confernece Lunch and drinks with partners/customers,ESCAr Confernece Lunch and drinks with partners/customers,"lunch & drinks with prospects & partners (NXP, Green Hills Software, ETAS, Trustonic)",20250520,VCA.1342G,"Lyft, Hotel, Food 
ESCAR Conference 2025 at the Saint Johns Resort, Michigan"
,G/L Account,2025/5/20,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,71.88,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi to AUS airport,2085034666019048850,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/20,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,71.88,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi to AUS airport,2085034666019048850,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/20,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,58.43,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi from DTW airport,2085104495412539596,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/20,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,58.43,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi from DTW airport,2085104495412539596,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/20,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,18.6,R-USD,VCA.1342G,10073,,VPA-0000184   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Food on 5/20/2025,5/20/2025,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/20,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,18.6,R-USD,VCA.1342G,10073,,VPA-0000184   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Food on 5/20/2025,5/20/2025,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/20,2025/6/10,2025/6/23,VPA-0000194,72600-10,72600-30,,,19.4,R-USD,VCA.1342G,10100,,VPA-0000194   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Lunch Inn at St. John ESCAR,000024,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/20,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,19.4,R-USD,VCA.1342G,10100,,VPA-0000194   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Lunch Inn at St. John ESCAR,000024,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/5/20,2025/6/10,2025/6/23,VPA-0000194,73300-40,,,,36.74,R-USD,VCA.1342G,10100,,VPA-0000194   Business Entertainment (Activity/Meal/Gift with Customer),,"Dinner with Reuben Sarkar (American Center for Mobility, CEO)",58064,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/20,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,36.74,R-USD,VCA.1342G,10100,,VPA-0000194   Business Entertainment (Activity/Meal/Gift with Customer),,"Dinner with Reuben Sarkar (American Center for Mobility, CEO)",58064,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/5/21,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,35.39,R-USD,VCA.1342G,10073,,VPA-0000184   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Food on 5/21/2025,5/21/2025,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/21,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,35.39,R-USD,VCA.1342G,10073,,VPA-0000184   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Food on 5/21/2025,5/21/2025,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/22,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,56.32,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi to DTW,2085734365916711344,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/22,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,56.32,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi to DTW,2085734365916711344,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/22,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,70.77,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi from AUS airport,2085826817377943256,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/22,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,70.77,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft/rideshare/taxi from AUS airport,2085826817377943256,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/22,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,19.63,R-USD,VCA.1342G,10073,,VPA-0000184   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Food on 5/22/2025,5/22/2025,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/22,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,19.63,R-USD,VCA.1342G,10073,,VPA-0000184   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,Food on 5/22/2025,5/22/2025,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/22,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,90,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,"Breakfast with Stellantis Bill Mazara, Blockharbor Brandon Barry, and Amadou Kane",2025/5/22,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/22,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,90,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,"Breakfast with Stellantis Bill Mazara, Blockharbor Brandon Barry, and Amadou Kane",2025/5/22,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/25,2025/6/10,2025/6/23,VPA-0000194,72700-10,,,,36,R-USD,VCA.1342G,10100,,"VPA-0000194   Telephone, Mobile Phone Call",,May Mobile Phone Invoice_Mobile Plan Charges Only,5868733048,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/25,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,36,R-USD,VCA.1342G,10100,,"VPA-0000194   Telephone, Mobile Phone Call",,May Mobile Phone Invoice_Mobile Plan Charges Only,5868733048,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/5/27,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,580.37,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Airfare, Train, High Speed Rail",,United Airlines Flight DFW to DTW,20250611,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/5/27,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,580.37,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Airfare, Train, High Speed Rail",,United Airlines Flight DFW to DTW,20250611,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,G/L Account,2025/5/28,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,47,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with Tom Harmon Microsoft,2025/5/28,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/28,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,47,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with Tom Harmon Microsoft,2025/5/28,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/28,2025/6/10,2025/6/23,VPA-0000194,73300-40,,,,48.9,R-USD,VCA.1342G,10100,,VPA-0000194   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with James Crane (HARMAN AES US Business Development Director),08206D,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/28,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,48.9,R-USD,VCA.1342G,10100,,VPA-0000194   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with James Crane (HARMAN AES US Business Development Director),08206D,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/5/29,2025/6/10,2025/6/23,VPA-0000194,74700-10,,,,66.95,R-USD,VCA.1342G,10100,,VPA-0000194   Office Rental,,Bamboo Office May Invoice,27383,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/29,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,66.95,R-USD,VCA.1342G,10100,,VPA-0000194   Office Rental,,Bamboo Office May Invoice,27383,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/5/30,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,72,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch Jacob Mathews Dep of Energy,2025/5/30,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/30,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,72,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch Jacob Mathews Dep of Energy,2025/5/30,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/30,2025/6/9,2025/6/23,VPA-0000189,72600-10,72600-30,,,3,R-USD,VCA.1342G,10091,,"VPA-0000189   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Parking at customer meeting in Ann Arbor Dept of Energy meeting,2025/5/30,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/30,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,3,R-USD,VCA.1342G,10091,,"VPA-0000189   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Parking at customer meeting in Ann Arbor Dept of Energy meeting,2025/5/30,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/30,2025/6/9,2025/6/23,VPA-0000189,72600-10,72600-30,,,332.22,R-USD,VCA.1342G,10091,,VPA-0000189   Domestic Travel - Mileage Claim,,Mileage for customer meeting and events,2025/5/30,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/30,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,332.22,R-USD,VCA.1342G,10091,,VPA-0000189   Domestic Travel - Mileage Claim,,Mileage for customer meeting and events,2025/5/30,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/31,2025/6/10,2025/6/23,VPA-0000194,72600-10,72600-30,,,265.3,R-USD,VCA.1342G,10100,,VPA-0000194   Domestic Travel - Mileage Claim,,May Mileage Expenses,20250531,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/31,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,265.3,R-USD,VCA.1342G,10100,,VPA-0000194   Domestic Travel - Mileage Claim,,May Mileage Expenses,20250531,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/6/2,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,145.78,R-USD,VCA.1342G,10126,,VPA-0000199   Domestic Travel - Hotel Accommodation,,"CW23 Hotel Four Points by Sheraton in Nove,MI for COVESA Reception/Block Harbor Meeting/ Harman Experience",20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/6/2,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,145.78,R-USD,VCA.1342G,10126,,VPA-0000199   Domestic Travel - Hotel Accommodation,,"CW23 Hotel Four Points by Sheraton in Nove,MI for COVESA Reception/Block Harbor Meeting/ Harman Experience",20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,G/L Account,2025/6/4,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,56.14,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft Taxi Home to DFW for COVESA Reception,20250604,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/6/4,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,56.14,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Lyft Taxi Home to DFW for COVESA Reception,20250604,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,G/L Account,2025/6/5,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,68.69,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,CW23 Lyft Taxi Detroit Airport to COVESA Reception June 4th,20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/6/5,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,68.69,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,CW23 Lyft Taxi Detroit Airport to COVESA Reception June 4th,20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,G/L Account,2025/6/5,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,57.93,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Travel to Detroit Airport,20250506,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/6/5,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,57.93,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,Travel to Detroit Airport,20250506,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,G/L Account,2025/6/5,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,17.67,R-USD,VCA.1342G,10126,,VPA-0000199   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,"Breakfast at DFW Airport, Lunch at Detroit Airport",20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/6/5,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,17.67,R-USD,VCA.1342G,10126,,VPA-0000199   Domestic Travel - Subsistence (Breakfast/Lunch/Dinner),,"Breakfast at DFW Airport, Lunch at Detroit Airport",20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,G/L Account,2025/6/6,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,30.81,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,"Denver Airport layover, flight cancelled, taxi to airport hotel for flight next morning June 6th",20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/6/6,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,30.81,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,"Denver Airport layover, flight cancelled, taxi to airport hotel for flight next morning June 6th",20250605,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,G/L Account,2025/6/6,2025/6/20,2025/6/23,VPA-0000199,72600-10,72600-30,,,42.99,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,"Taxi to home after COVESA Reception, BH meeting, Harman Experience (Arrived 1 day late due to cancelled flight on the 5th in Denver)",20250506,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
,Vendor,2025/6/6,2025/6/20,2025/6/23,VPA-0000199,,,32200-10,32200-10,42.99,R-USD,VCA.1342G,10126,,"VPA-0000199   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking",,"Taxi to home after COVESA Reception, BH meeting, Harman Experience (Arrived 1 day late due to cancelled flight on the 5th in Denver)",20250506,VCA.1342G,"CW23 - COVESA Reception, Block Harbor meeting, Harman Experience 
Flight (United Airlines), Hotel (Four Points Sheraton), Lyft (Taxi) and Per Diem"
